"participant","start","end","age","sex","ethnicity","country","par_bilingual","par_disorder","par_vision","par_lang_1","par_fluency_1","variability","similarity","match_list","order","speaker"
"596bac33670f410001fe9c07",2023-07-18 21:49:20,2023-07-18 22:27:01,"30","Female","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order1",6
"5e38e79295ff561112eae457",2023-07-18 22:08:29,2023-07-18 22:48:37,"38","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order1",6
"5c3fd0d4c2d0b700017d02cd",2023-07-18 22:09:41,2023-07-18 22:42:30,"34","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order1",6
"60fdab454b8c00448c10fa27",2023-07-18 22:12:37,2023-07-18 22:40:56,"28","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",1,"order1",6
"6107a4b7744b9b0ca7328cee",2023-07-18 22:13:10,2023-07-18 22:46:49,"34","Female","White","United States of America","No","No","Yes","English",5,"variant","similar",2,"order1",6
"63d0ca70331be3a97cb7b1d1",2023-07-18 22:12:33,2023-07-18 22:48:29,"25","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order1",6
"5cc8039e3ef93000171c96b8",2023-07-18 22:15:10,2023-07-18 22:41:14,"37","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order1",6
"5aeab6e39e185a0001b9e272",2023-07-18 22:14:28,2023-07-18 23:07:54,"32","Female","White",NA,"No","No","Yes","English",5,"invariant","dissimilar",1,"order1",6
"6478e5fc76f5ecbc4f0ed353",2023-07-18 22:02:53,2023-07-18 22:31:14,"27","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order1",6
"5ff6aa65306c94266070c467",2023-07-18 21:03:21,2023-07-18 21:31:37,"33","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order1",6
"63b6cc23f13731158517f900",2023-07-18 22:04:06,2023-07-18 22:35:59,"40","Female","Black","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order1",6
"610cedfc867afaeac6af0954",2023-07-18 21:19:03,2023-07-18 21:46:41,"21","Female","Mixed","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order1",6
"6413665e5dec6a98797ef5ab",2023-07-18 21:25:21,2023-07-18 22:01:22,"19","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",1,"order1",6
