"participant","date_post","spk_accent","spk_bilingual","spk_ease","spk_fluency_1","spk_lang_1","spk_percep","spk_region","spk_accent_strength","spk_accent_type","spk_fluency_2","spk_lang_2","spk_sub_region","spk_country","variability","similarity","match_list","order","speaker"
"596bac33670f410001fe9c07",2023-07-18 22:26:58,"Yes","Yes",3,4,"Portuguese",3,"Asia",4,"[""acc_ex"",""acc_l2""]",3,"English","Central",NA,"variant","control",1,"order1",6
"5e38e79295ff561112eae457",2023-07-18 22:48:34,"Yes","No",2,5,"Spanish",2,"Americas",4,"[""acc_l2""]",NA,NA,"Central","Mexico","invariant","similar",1,"order1",6
"5c3fd0d4c2d0b700017d02cd",2023-07-18 22:42:26,"Yes","Yes",3,4,"Russian",3,"Asia",3,"[""acc_social""]",3,"English","Southeastern",NA,"invariant","dissimilar",2,"order1",6
"60fdab454b8c00448c10fa27",2023-07-18 22:40:51,"Yes","Yes",4,5,"Mandarin",4,"Asia",3,"[""acc_l2""]",3,"English","Eastern",NA,"variant","similar",1,"order1",6
"6107a4b7744b9b0ca7328cee",2023-07-18 22:46:45,"Yes","Yes",3,5,"None of these",3,"Asia",3,"[""acc_social"",""acc_l2"",""acc_slp""]",4,"English","Southeastern",NA,"variant","similar",2,"order1",6
"63d0ca70331be3a97cb7b1d1",2023-07-18 22:48:25,"Yes","Yes",3,5,"Russian",3,"Europe",3,"[""acc_l2""]",4,"English","Eastern",NA,"variant","dissimilar",2,"order1",6
"5cc8039e3ef93000171c96b8",2023-07-18 22:41:10,"Yes","No",3,3,"Hindi",4,"Asia",4,"[""acc_ex""]",NA,NA,"Southeastern",NA,"variant","dissimilar",2,"order1",6
"5aeab6e39e185a0001b9e272",2023-07-18 23:07:47,"Yes","Yes",3,5,"French",3,"Europe",4,"[""acc_ex""]",3,"English","Southern",NA,"invariant","dissimilar",1,"order1",6
"6478e5fc76f5ecbc4f0ed353",2023-07-18 22:31:11,"Yes","Yes",3,5,"Mandarin",4,"Asia",3,"[""acc_ex"",""acc_social"",""acc_l2""]",4,"English","Southern",NA,"invariant","dissimilar",2,"order1",6
"5ff6aa65306c94266070c467",2023-07-18 21:31:34,"Yes","Yes",2,3,"Russian",2,"Europe",3,"[""acc_ex"",""acc_l2""]",3,"English","Eastern",NA,"invariant","similar",1,"order1",6
"63b6cc23f13731158517f900",2023-07-18 22:35:56,"Yes","Yes",3,4,"Hindi",3,"Asia",4,"[""acc_social"",""acc_ex"",""acc_l2""]",3,"English","Southeastern",NA,"variant","dissimilar",1,"order1",6
"610cedfc867afaeac6af0954",2023-07-18 21:46:38,"Yes","Yes",3,4,"Portuguese",3,"Americas",3,"[""acc_social"",""acc_l2""]",3,"English","Southern","Argentina","invariant","dissimilar",1,"order1",6
"6413665e5dec6a98797ef5ab",2023-07-18 22:01:19,"Yes","No",2,3,"None of these",3,"Americas",4,"[""acc_social"",""acc_l2"",""acc_ex""]",NA,NA,"Southern","Colombia","variant","similar",1,"order1",6
"59d9d9cd8fd07a0001842484",2023-07-18 22:24:56,"Yes","Yes",2,5,"Spanish",4,"Americas",4,"[""acc_social"",""acc_l2""]",2,"English","Southern","Colombia","variant","similar",1,"order1",6
"5be084ec4c397b0001ec3567",2023-07-18 22:22:30,"Yes","Yes",4,5,"Russian",3,"Europe",4,"[""acc_ex"",""acc_l2""]",4,"English","Eastern",NA,"invariant","dissimilar",2,"order1",6
"5f2c760dfff10e03206a686b",2023-07-18 22:36:01,"Yes","No",3,2,"English",3,"Americas",3,"[""acc_l2"",""acc_slp""]",NA,NA,"Northern","United States of America","variant","similar",1,"order1",6
"63d18647419ae52f5e141607",2023-07-18 22:34:26,"Yes","Yes",2,5,"Mandarin",2,"Asia",4,"[""acc_ex"",""acc_social"",""acc_l2""]",3,"English","Eastern",NA,"invariant","dissimilar",2,"order1",6
"587418895c17910001ea4e75",2023-07-18 21:44:17,"Yes","Yes",4,1,"Spanish",4,"Americas",4,"[""acc_l2""]",4,"English","Southern","Colombia","variant","dissimilar",1,"order1",6
"612c6bd26f5f81c5765989d9",2023-07-18 22:55:13,"Yes","Yes",2,1,"Hindi",2,"Oceania",4,"[""acc_l2"",""acc_social""]",3,"English","Melanesia",NA,"variant","control",2,"order1",6
"5fa935b3d330fa0429da624a",2023-07-18 21:45:29,"Yes","Yes",2,4,"Mandarin",3,"Asia",5,"[""acc_ex"",""acc_l2""]",3,"English","Eastern",NA,"variant","dissimilar",1,"order1",6
"6138f7e0ad42e592ca5f2024",2023-07-18 22:50:17,"Yes","Yes",2,4,"Portuguese",2,"Europe",5,"[""acc_l2""]",1,"English","Eastern",NA,"invariant","similar",1,"order1",6
"60bc011503db109b7d46851d",2023-07-18 21:46:47,"Yes","Yes",3,4,"French",3,"Europe",4,"[""acc_ex"",""acc_l2""]",3,"English","Western",NA,"variant","similar",2,"order1",6
"630981b0f861918e8174a43e",2023-07-18 22:48:58,"Yes","No",2,4,"Hindi",2,"Asia",4,"[""acc_l2"",""acc_ex""]",NA,NA,"Southern",NA,"variant","similar",1,"order1",6
"60fd05fdd8f4081c41972a1b",2023-07-18 22:06:07,"Yes","Yes",3,5,"French",3,"Europe",3,"[""acc_ex"",""acc_l2""]",4,"English","Western",NA,"invariant","similar",2,"order1",6
"63034df51d918e1e3b97e5ce",2023-07-18 22:07:56,"Yes","Yes",2,5,"Portuguese",3,"Asia",4,"[""acc_l2""]",3,"English","Southern",NA,"variant","dissimilar",1,"order1",6
"5f5834134283933a1c3b42d0",2023-07-18 22:11:32,"Yes","Yes",2,5,"Russian",3,"Europe",4,"[""acc_l2"",""acc_ex""]",3,"English","Eastern",NA,"variant","dissimilar",2,"order1",6
"6234c1abfc04a4163c09a78f",2023-07-18 23:18:43,"Yes","No",3,3,"English",3,"Europe",4,"[""acc_ex""]",NA,NA,"Northern",NA,"invariant","similar",1,"order1",6
"5db598f48cf15c000b57eb36",2023-07-18 22:15:00,"Yes","No",2,5,"Bengali",4,"Asia",4,"[""acc_ex"",""acc_l2"",""acc_social""]",NA,NA,"Southern",NA,"invariant","similar",1,"order1",6
"5e2a425609072a0abb76094b",2023-07-18 22:19:10,"Yes","Yes",4,5,"Russian",4,"Europe",4,"[""acc_l2""]",3,"English","Eastern",NA,"invariant","similar",2,"order1",6
"6116f60ae8f48f7d1244e8d3",2023-07-18 23:22:10,"Yes","Yes",3,5,"Spanish",3,"Americas",4,"[""acc_ex"",""acc_l2"",""acc_social""]",3,"English","Southern","Ecuador","invariant","similar",2,"order1",6
"5bdc4c1b75ae900001f30a87",2023-07-18 22:24:58,"Yes","Yes",2,5,"Mandarin",2,"Asia",5,"[""acc_l2""]",5,"Bengali","Southeastern",NA,"invariant","similar",1,"order1",6
"609ac8ca9e4928ec75d40a10",2023-07-18 22:23:54,"Yes","Yes",3,5,"None of these",3,"Asia",5,"[""acc_l2""]",5,"None of these","Eastern",NA,"invariant","similar",2,"order1",6
"63d410114a361b7bee9c12b9",2023-07-18 23:29:05,"Yes","No",2,5,"Russian",2,"Europe",4,"[""acc_ex"",""acc_l2""]",NA,NA,"Eastern",NA,"variant","dissimilar",1,"order1",6
"63f7870b7fabda95fb6586d0",2023-07-18 22:29:53,"Yes","No",3,5,"Spanish",4,"Americas",4,"[""acc_l2""]",NA,NA,"Southern","Colombia","invariant","dissimilar",2,"order1",6
"5ba064c10d4416000157a224",2023-07-18 22:41:34,"Yes","Yes",3,4,"Russian",3,"Europe",4,"[""acc_ex"",""acc_l2""]",2,"English","Eastern",NA,"invariant","dissimilar",2,"order1",6
"5b182365316c630001abff4f",2023-07-18 22:41:25,"Yes","Yes",3,4,"Russian",3,"Europe",4,"[""acc_ex"",""acc_l2"",""acc_social""]",4,"English","Eastern",NA,"variant","dissimilar",1,"order1",6
